emp_no,first_name,last_name,salary,birth_date,gender,joining_date,department
1001,James,Bond,45300,1/19/98,M,11/29/20,Marketing
1002,Robert,Lee,69410,9/2/98,M,12/26/19,IT
1003,Mary,Wood,39518,11/7/97,F,9/12/19,Business Development
1004,John,Cole,36264,2/1/99,M,4/14/21,HR
1005,Jennifer,Gill,48941,6/5/96,F,6/28/19,Marketing
1006,Michael,Watts,23800,4/16/99,M,6/9/22,HR
1007,David,Mills,39400,4/26/98,M,10/17/21,IT
1008,William,Hill,26392,10/21/99,M,9/30/19,Business Development
1009,Linda,Potter,55231,1/24/98,F,8/7/21,Finance
1010,Richard,Martin,25600,8/7/96,M,3/23/21,IT
1011,Susan,Hall,54152,12/27/99,F,8/7/20,Finance
1012,Joseph,Turner,60556,5/13/97,M,9/2/19,Marketing
1013,Mary,Gill,58246,1/21/99,F,4/30/21,Business Development
1014,Thomas,Ryan,23676,10/12/96,M,3/2/22,IT
1015,Charles,Williams,57226,1/29/00,M,11/5/19,
1016,Jessica,Clark,,1/25/00,F,1/24/20,IT
1017,Nancy,Parker,66900,10/24/96,F,1/9/22,Finance
1018,Betty,Barker,35288,11/13/98,F,12/26/19,HR
1019,Christopher,Gibson,59341,4/23/98,M,5/2/19,Marketing
1020,Daniel,Elliott,44012,1/21/99,M,1/8/23,IT
1021,David,Mills,,1/24/98,M,12/26/19,IT
1022,Sarah,Harrison,44692,3/20/96,F,5/3/20,Finance
1023,Matthew,Hill,41365,5/16/98,M,5/23/19,IT
1024,Anthony,Miller,56794,6/30/96,M,2/28/19,Business Development
1025,Mark,Wood,65120,10/29/98,M,7/30/20,Business Development
1026,Elizabeth,Walker,47030,8/11/98,F,6/18/21,
1027,Barbara,Anderson,,12/27/99,F,3/14/21,HR
1028,Jessica,Clark,63836,1/24/98,F,5/23/21,IT
1029,Nancy,Cole,63669,1/26/00,F,12/26/19,Finance
1030,Joe,Brooks,44000,8/5/99,M,3/9/21,Business Development
