emp_no,first_name,last_name,salary
1001,James,Bond,45300
1002,Robert,Lee,69410
1003,Mary,Wood,39518
1004,John,Cole,36264
1005,Jennifer,Gill,48941
1006,Michael,Watts,23800
1007,David,Mills,39400
1008,William,Hill,26392
1009,Linda,Potter,55231
1010,Richard,Martin,25600
1011,Susan,Hall,54152
1012,Joseph,Turner,60556
1013,Mary,Gill,58246
1014,Thomas,Ryan,23676
1015,Charles,Williams,57226
1016,Jessica,Clark,
1017,Nancy,Parker,66900
1018,Betty,Barker,35288
1019,Christopher,Gibson,59341
1020,Daniel,Elliott,44012
1021,David,Mills,
1022,Sarah,Harrison,44692
1023,Matthew,Hill,41365
1024,Anthony,Miller,56794
1025,Mark,Wood,65120
1026,Elizabeth,Walker,47030
1027,Barbara,Anderson,
1028,Jessica,Clark,63836
1029,Nancy,Cole,63669
1030,Joe,Brooks,44000
